ZCTA,FIPS,STATE_ABBR,STATE_NAME,Region
01475,25,MA,Massachusetts,Northeast
01501,25,MA,Massachusetts,Northeast
01503,25,MA,Massachusetts,Northeast
01504,25,MA,Massachusetts,Northeast
01505,25,MA,Massachusetts,Northeast
01506,25,MA,Massachusetts,Northeast
01507,25,MA,Massachusetts,Northeast
01510,25,MA,Massachusetts,Northeast
01515,25,MA,Massachusetts,Northeast
01516,25,MA,Massachusetts,Northeast
01518,25,MA,Massachusetts,Northeast
01519,25,MA,Massachusetts,Northeast
01520,25,MA,Massachusetts,Northeast
01521,25,MA,Massachusetts,Northeast
01522,25,MA,Massachusetts,Northeast
01523,25,MA,Massachusetts,Northeast
01524,25,MA,Massachusetts,Northeast
01525,25,MA,Massachusetts,Northeast
01527,25,MA,Massachusetts,Northeast
01529,25,MA,Massachusetts,Northeast
01531,25,MA,Massachusetts,Northeast
01532,25,MA,Massachusetts,Northeast
01534,25,MA,Massachusetts,Northeast
01535,25,MA,Massachusetts,Northeast
01536,25,MA,Massachusetts,Northeast
01537,25,MA,Massachusetts,Northeast
01540,25,MA,Massachusetts,Northeast
01541,25,MA,Massachusetts,Northeast
01542,25,MA,Massachusetts,Northeast
01543,25,MA,Massachusetts,Northeast
01545,25,MA,Massachusetts,Northeast
01550,25,MA,Massachusetts,Northeast
01560,25,MA,Massachusetts,Northeast
01561,25,MA,Massachusetts,Northeast
01562,25,MA,Massachusetts,Northeast
01564,25,MA,Massachusetts,Northeast
01566,25,MA,Massachusetts,Northeast
01568,25,MA,Massachusetts,Northeast
01569,25,MA,Massachusetts,Northeast
01570,25,MA,Massachusetts,Northeast
01571,25,MA,Massachusetts,Northeast
01581,25,MA,Massachusetts,Northeast
01583,25,MA,Massachusetts,Northeast
01585,25,MA,Massachusetts,Northeast
01588,25,MA,Massachusetts,Northeast
01590,25,MA,Massachusetts,Northeast
01602,25,MA,Massachusetts,Northeast
01603,25,MA,Massachusetts,Northeast
01604,25,MA,Massachusetts,Northeast
01605,25,MA,Massachusetts,Northeast
01606,25,MA,Massachusetts,Northeast
01607,25,MA,Massachusetts,Northeast
01608,25,MA,Massachusetts,Northeast
01609,25,MA,Massachusetts,Northeast
01610,25,MA,Massachusetts,Northeast
01611,25,MA,Massachusetts,Northeast
01612,25,MA,Massachusetts,Northeast
01701,25,MA,Massachusetts,Northeast
01702,25,MA,Massachusetts,Northeast
01718,25,MA,Massachusetts,Northeast
01719,25,MA,Massachusetts,Northeast
01720,25,MA,Massachusetts,Northeast
01721,25,MA,Massachusetts,Northeast
01730,25,MA,Massachusetts,Northeast
01731,25,MA,Massachusetts,Northeast
01740,25,MA,Massachusetts,Northeast
01741,25,MA,Massachusetts,Northeast
01742,25,MA,Massachusetts,Northeast
01745,25,MA,Massachusetts,Northeast
01746,25,MA,Massachusetts,Northeast
01747,25,MA,Massachusetts,Northeast
01748,25,MA,Massachusetts,Northeast
01749,25,MA,Massachusetts,Northeast
01752,25,MA,Massachusetts,Northeast
01754,25,MA,Massachusetts,Northeast
01756,25,MA,Massachusetts,Northeast
01757,25,MA,Massachusetts,Northeast
01760,25,MA,Massachusetts,Northeast
01770,25,MA,Massachusetts,Northeast
01772,25,MA,Massachusetts,Northeast
01773,25,MA,Massachusetts,Northeast
01775,25,MA,Massachusetts,Northeast
01776,25,MA,Massachusetts,Northeast
01778,25,MA,Massachusetts,Northeast
01801,25,MA,Massachusetts,Northeast
01803,25,MA,Massachusetts,Northeast
01810,25,MA,Massachusetts,Northeast
01821,25,MA,Massachusetts,Northeast
01824,25,MA,Massachusetts,Northeast
01826,25,MA,Massachusetts,Northeast
01827,25,MA,Massachusetts,Northeast
01830,25,MA,Massachusetts,Northeast
01832,25,MA,Massachusetts,Northeast
01833,25,MA,Massachusetts,Northeast
01834,25,MA,Massachusetts,Northeast
01835,25,MA,Massachusetts,Northeast
01840,25,MA,Massachusetts,Northeast
01841,25,MA,Massachusetts,Northeast
01843,25,MA,Massachusetts,Northeast
01844,25,MA,Massachusetts,Northeast
01845,25,MA,Massachusetts,Northeast
01850,25,MA,Massachusetts,Northeast
01851,25,MA,Massachusetts,Northeast
01852,25,MA,Massachusetts,Northeast
01854,25,MA,Massachusetts,Northeast
01860,25,MA,Massachusetts,Northeast
01862,25,MA,Massachusetts,Northeast
01863,25,MA,Massachusetts,Northeast
01864,25,MA,Massachusetts,Northeast
01867,25,MA,Massachusetts,Northeast
01876,25,MA,Massachusetts,Northeast
01879,25,MA,Massachusetts,Northeast
01880,25,MA,Massachusetts,Northeast
01886,25,MA,Massachusetts,Northeast
01887,25,MA,Massachusetts,Northeast
01890,25,MA,Massachusetts,Northeast
01901,25,MA,Massachusetts,Northeast
01902,25,MA,Massachusetts,Northeast
01904,25,MA,Massachusetts,Northeast
01905,25,MA,Massachusetts,Northeast
01906,25,MA,Massachusetts,Northeast
01907,25,MA,Massachusetts,Northeast
01908,25,MA,Massachusetts,Northeast
01913,25,MA,Massachusetts,Northeast
01915,25,MA,Massachusetts,Northeast
01921,25,MA,Massachusetts,Northeast
01922,25,MA,Massachusetts,Northeast
01923,25,MA,Massachusetts,Northeast
01929,25,MA,Massachusetts,Northeast
01930,25,MA,Massachusetts,Northeast
01937,25,MA,Massachusetts,Northeast
01938,25,MA,Massachusetts,Northeast
01940,25,MA,Massachusetts,Northeast
01944,25,MA,Massachusetts,Northeast
01945,25,MA,Massachusetts,Northeast
01949,25,MA,Massachusetts,Northeast
01950,25,MA,Massachusetts,Northeast
01951,25,MA,Massachusetts,Northeast
01952,25,MA,Massachusetts,Northeast
01960,25,MA,Massachusetts,Northeast
01966,25,MA,Massachusetts,Northeast
01969,25,MA,Massachusetts,Northeast
01970,25,MA,Massachusetts,Northeast
01982,25,MA,Massachusetts,Northeast
01983,25,MA,Massachusetts,Northeast
01984,25,MA,Massachusetts,Northeast
01985,25,MA,Massachusetts,Northeast
02019,25,MA,Massachusetts,Northeast
02021,25,MA,Massachusetts,Northeast
02025,25,MA,Massachusetts,Northeast
02026,25,MA,Massachusetts,Northeast
02030,25,MA,Massachusetts,Northeast
02032,25,MA,Massachusetts,Northeast
02035,25,MA,Massachusetts,Northeast
02038,25,MA,Massachusetts,Northeast
02043,25,MA,Massachusetts,Northeast
02045,25,MA,Massachusetts,Northeast
02047,25,MA,Massachusetts,Northeast
02048,25,MA,Massachusetts,Northeast
02050,25,MA,Massachusetts,Northeast
02052,25,MA,Massachusetts,Northeast
02053,25,MA,Massachusetts,Northeast
02054,25,MA,Massachusetts,Northeast
02056,25,MA,Massachusetts,Northeast
02061,25,MA,Massachusetts,Northeast
02062,25,MA,Massachusetts,Northeast
02066,25,MA,Massachusetts,Northeast
02067,25,MA,Massachusetts,Northeast
02071,25,MA,Massachusetts,Northeast
02072,25,MA,Massachusetts,Northeast
02081,25,MA,Massachusetts,Northeast
02090,25,MA,Massachusetts,Northeast
02093,25,MA,Massachusetts,Northeast
02108,25,MA,Massachusetts,Northeast
02109,25,MA,Massachusetts,Northeast
02110,25,MA,Massachusetts,Northeast
02111,25,MA,Massachusetts,Northeast
02113,25,MA,Massachusetts,Northeast
02114,25,MA,Massachusetts,Northeast
02115,25,MA,Massachusetts,Northeast
02116,25,MA,Massachusetts,Northeast
02118,25,MA,Massachusetts,Northeast
02119,25,MA,Massachusetts,Northeast
02120,25,MA,Massachusetts,Northeast
02121,25,MA,Massachusetts,Northeast
02122,25,MA,Massachusetts,Northeast
02124,25,MA,Massachusetts,Northeast
02125,25,MA,Massachusetts,Northeast
02126,25,MA,Massachusetts,Northeast
02127,25,MA,Massachusetts,Northeast
02128,25,MA,Massachusetts,Northeast
02129,25,MA,Massachusetts,Northeast
02130,25,MA,Massachusetts,Northeast
02131,25,MA,Massachusetts,Northeast
02132,25,MA,Massachusetts,Northeast
02134,25,MA,Massachusetts,Northeast
02135,25,MA,Massachusetts,Northeast
02136,25,MA,Massachusetts,Northeast
02138,25,MA,Massachusetts,Northeast
02139,25,MA,Massachusetts,Northeast
02140,25,MA,Massachusetts,Northeast
02141,25,MA,Massachusetts,Northeast
02142,25,MA,Massachusetts,Northeast
02143,25,MA,Massachusetts,Northeast
02144,25,MA,Massachusetts,Northeast
02145,25,MA,Massachusetts,Northeast
02148,25,MA,Massachusetts,Northeast
02149,25,MA,Massachusetts,Northeast
02150,25,MA,Massachusetts,Northeast
02151,25,MA,Massachusetts,Northeast
